fact_text,correct_node_id,category,is_boilerplate_target,scoring_bucket,node_title,notes
We compare our flags against what two independent reviewers marked on the same paper.,BP.10.1.10,clear,FALSE,a_classifier,Diagnostic Benchmark Protocol,
"The summary opens with the problem, then the approach, then what we have actually evidenced, then the ask.",BP.11.2.1,clear,FALSE,a_classifier,Executive Summary Structure,
Every claim in the investor deck has to point back to a specific numbered node.,BP.11.1.4,clear,FALSE,a_classifier,Evidence-to-Claim Mapping,
Risks are scored one to five on impact and one to five on likelihood.,BP.12.1.4,clear,FALSE,a_classifier,Severity and Likelihood Scale Definition,
Anything a source cannot support at its tier gets escalated rather than published.,BP.3.2.5,clear,FALSE,a_classifier,Tier Escalation Rules,
"The unit we evaluate is a single manuscript draft, not the author and not the eventual publication.",BP.1.1.2,clear,FALSE,a_classifier,Unit of Analysis,
Deferred items still get logged. We do not drop them just because nobody is acting this quarter.,BP.12.2.4,clear,FALSE,a_classifier,Deferral Decision Criteria,
The problem is that unsupported claims survive to submission because nobody checks inference systematically.,BP.2.1.1,clear,FALSE,a_classifier,Problem Statement,
We need 1.2 million euros to reach the pilot-complete milestone.,BP.9.6.10,hard,FALSE,a_classifier,Funding Requirement Definition,pair 1 with BP.9.6.11 - amount needed vs time remaining
At current spend we have fourteen months of cash left.,BP.9.6.11,hard,FALSE,a_classifier,Runway Planning,pair 1 with BP.9.6.10 - amount needed vs time remaining
"We are spending 48,000 euros a month, mostly salaries and compute.",BP.9.6.12,hard,FALSE,a_classifier,Burn Rate Architecture,pair 2 with BP.9.6.11 - monthly outflow vs months remaining
Cash out per month should stay flat until the second engineer starts.,BP.9.6.11,hard,FALSE,a_classifier,Runway Planning,pair 2 with BP.9.6.12 - months remaining vs monthly outflow
We want the founders to still hold a majority after the next two rounds.,BP.9.6.14,hard,FALSE,a_classifier,Capital Structure Strategy,pair 3 with BP.9.6.17 - ownership shape vs instrument terms
We are offering a SAFE with a 6 million cap and a 20 percent discount.,BP.9.6.17,hard,FALSE,a_classifier,SAFE and Equity Instrument Strategy,pair 3 with BP.9.6.14 - instrument terms vs ownership shape
We are applying for Horizon Europe money so we do not give up equity.,BP.9.6.15,hard,FALSE,a_classifier,Non-Dilutive Funding Strategy,pair 4 with BP.9.6.16 - grants vs pilot revenue as funding
"Three paid pilots at 15,000 euros each should cover most of next year's infrastructure.",BP.9.6.16,hard,FALSE,a_classifier,Pilot Financing Strategy,pair 4 with BP.9.6.15 - pilot revenue vs grants as funding
"Costs break down as 70 percent salaries, 20 percent compute, 10 percent everything else.",BP.9.5.2,hard,TRUE,b_architecture_content,Cost Structure,"pair 5 with BP.9.6.12 - cost composition vs burn over time. MIXED PAIR: this target is boilerplate (bucket b), its partner is not (bucket a)"
"Monthly outflow rises to 60,000 euros once the third hire lands.",BP.9.6.12,hard,FALSE,a_classifier,Burn Rate Architecture,pair 5 with BP.9.5.2 - burn over time vs cost composition. MIXED PAIR: this target has real content (bucket a) but its distractor BP.9.5.2 is boilerplate
We are going with an annual institutional subscription rather than charging per manuscript.,BP.9.2.1,hard,TRUE,b_architecture_content,Pricing Model Definition,"pair 6 with BP.9.2.2 - model choice vs tier amounts; BOTH boilerplate, title is the only signal"
"Three tiers: 8k for a department, 20k for a faculty, 45k campus-wide.",BP.9.2.2,hard,TRUE,b_architecture_content,Pricing Structure,pair 6 with BP.9.2.1 - tier amounts vs model choice; BOTH boilerplate
The base package covers 500 manuscripts a year and extra volume is a bolt-on.,BP.9.2.4,hard,TRUE,b_architecture_content,Packaging Strategy,pair 7 with BP.9.2.5 - what is bundled vs how far we discount; BOTH boilerplate
We will go to 15 percent off for a three-year commitment and no lower.,BP.9.2.5,hard,TRUE,b_architecture_content,Discount and Negotiation Logic,pair 7 with BP.9.2.4 - discounting vs bundling; BOTH boilerplate
"We sell direct to institutions. No resellers, no marketplace.",BP.9.3.2,hard,TRUE,b_architecture_content,Initial Sales Channel,pair 8 with BP.9.3.3 - channel vs motion; BOTH boilerplate
"Warm intro from an advisor, then a workshop with the doctoral school, then a pilot.",BP.9.3.3,hard,TRUE,b_architecture_content,Customer Acquisition Motion,pair 8 with BP.9.3.2 - motion vs channel; BOTH boilerplate
"Access is through the institution's SSO, inside the library portal they already use.",BP.9.1.3,hard,FALSE,a_classifier,Value Delivery Logic,pair 9 with BP.9.1.4 - how value reaches users vs how we get paid
"We bill the institution annually, never the individual researcher.",BP.9.1.4,hard,FALSE,a_classifier,Value Capture Logic,pair 9 with BP.9.1.3 - how we get paid vs how value reaches users
About 60 percent of the raise goes to salaries for four new engineers.,BP.9.6.13,hard,FALSE,a_classifier,Hiring Investment Plan,pair 10 with BP.9.6.10 - what the money buys vs how much is needed
We cannot start the second pilot cohort until we have raised again.,BP.9.6.10,hard,FALSE,a_classifier,Funding Requirement Definition,pair 10 with BP.9.6.13 - how much is needed vs what it buys
"The person who actually signs is the research dean, not the supervisor who asked for it.",BP.5.1.2,hard,FALSE,a_classifier,Buyer Definition,pair 11 with BP.5.3.1 - who signs vs who owns the budget
"Budget for this sits with the vice-rector for research, not the department.",BP.5.3.1,hard,FALSE,a_classifier,Economic Buyer Identification,pair 11 with BP.5.1.2 - who owns the budget vs who signs
"Before us, candidates email drafts to their supervisor and wait two weeks.",BP.6.2.2,hard,FALSE,a_classifier,Current Alternatives,pair 12 with BP.8.2.3 - discovery finding vs competitive mapping; CROSS-SECTION
Grammarly Premium and Turnitin are already installed at most of our targets.,BP.8.2.3,hard,FALSE,a_classifier,Software Alternatives,pair 12 with BP.6.2.2 - competitive mapping vs discovery finding; CROSS-SECTION
"We are not selling to corporate R&D labs, only academic institutions.",BP.4.1.3,hard,FALSE,a_classifier,Excluded Market Scope,pair 13 with BP.4.5.1 - market boundary vs segment exclusion
"Undergraduate programmes are out for now. High volume, near-zero willingness to pay.",BP.4.5.1,hard,FALSE,a_classifier,Excluded Segment Inventory,pair 13 with BP.4.1.3 - segment exclusion vs market boundary
Manuscripts are deleted 90 days after the report is delivered.,BP.7.2.4|BP.7.2.5,boundary,FALSE,a_classifier,Data Storage and Retention | Data Retention Policy,ambiguous - expected low confidence. These two nodes overlap in the source sheet (Data Storage and Retention vs Data Retention Policy)
Procurement can hold a deal for a quarter even when the dean wants it.,BP.5.1.4|BP.5.2.5,boundary,FALSE,a_classifier,Blocker Definition | Blocker and Champion Analysis,ambiguous - expected low confidence. Role definition vs buying-centre analysis
Most of them are using Word track changes and a shared doc.,BP.6.2.2|BP.8.2.3,boundary,FALSE,a_classifier,Current Alternatives | Software Alternatives,"ambiguous - expected low confidence. Same observation, discovery vs competitive framing"
Corporate labs and undergraduate programmes are both outside what we serve.,BP.4.1.3|BP.4.5.1,boundary,FALSE,a_classifier,Excluded Market Scope | Excluded Segment Inventory,ambiguous - expected low confidence. Single statement spanning market and segment exclusion
"We do not do integrity policing, and we should not be compared to Turnitin.",BP.1.2.4|BP.8.1.2,boundary,FALSE,a_classifier,Integrity Detection Exclusion | Competitor Classification,ambiguous - expected low confidence. Product non-scope vs competitor classification
The pilot cannot tell us whether this works outside Spain.,BP.10.1.3|BP.10.1.4,boundary,FALSE,a_classifier,Pilot Design | Validation Scope,ambiguous - expected low confidence. Pilot design vs validation scope limit
Our pricing assumes institutions have a training budget line already. That is unproven.,BP.9.2.3|BP.9.6.5,boundary,TRUE,b_architecture_content,Pricing Assumptions | Outstanding Financial Assumptions,ambiguous - expected low confidence. Pricing assumption vs outstanding financial assumption
Everything is Spain and EU first.,BP.1.6.1|BP.4.1.5,boundary,FALSE,a_classifier,Initial Operating Geography | Geographic Boundary,ambiguous - expected low confidence. BP.4.1.5 required_output explicitly links back to BP.1.6
A single interview can shape a hypothesis but must never be cited as proof of demand.,BP.3.2.3|BP.3.2.4,boundary,FALSE,a_classifier,Permitted Uses by Tier | Prohibited Uses by Tier,"ambiguous - expected low confidence. Permitted vs prohibited use of a tier, stated in one sentence"
"The researcher uses it, the dean pays for it.",BP.5.1.1|BP.5.1.2,boundary,FALSE,a_classifier,End User Definition | Buyer Definition,ambiguous - expected low confidence. End user vs buyer in one sentence
We are missing a commercial lead. Neither founder has sold into universities before.,BP.9.7.1,degraded,FALSE,a_classifier,Founding Team Gap Analysis,"expected: BP.13 review (degraded target, null_required_output). Must NOT auto-file"
We are assuming 78 percent gross margin once infrastructure costs settle.,BP.9.5.10,degraded,FALSE,a_classifier,Gross Margin Assumptions,"expected: BP.13 review (degraded target, null_required_output). Must NOT auto-file"
"First three hires: a backend engineer, then a research-integrity specialist, then a salesperson.",BP.9.5.17,degraded,FALSE,a_classifier,Hiring Sequence,"expected: BP.13 review (degraded target, null_required_output). Must NOT auto-file"
We are applying to the CDTI Neotec grant in the next round.,BP.11.7,degraded,FALSE,a_classifier,Public Grant Funding,"expected: BP.13 review (degraded target, null_required_output). Must NOT auto-file"
We will watch whether people come back to upload a second manuscript without being prompted.,BP.10.2.3,degraded,FALSE,a_classifier,Behavioural Observation Framework,"expected: BP.13 review (degraded target, overwritten_purpose - node purpose still describes a different node). Must NOT auto-file"
