fact_text,correct_node_id,notes,stratum,proposed_node_id,proposed_node_title,judge_confidence,decision,review_reasons,degraded_target,degraded_reason,section_margin,source_quote,span,kb_row_id,cand1_section,cand1_title,cand1_sim,cand1_leaves,cand2_section,cand2_title,cand2_sim,cand2_leaves,cand3_section,cand3_title,cand3_sim,cand3_leaves
Publishers face research-integrity risk.,,,would_auto_file,BP.8.7.3,Publisher Threats,high,review,auto_file_disabled,False,,0.2636,"Research-integrity risk, review burden, AI-assisted submissions.",121:185,cad5f9ba-7c97-4955-a3e5-d8754c3246d3,BP.8.7,Incumbent and Platform Threats,0.5788,BP.8.7.1 Incumbent Threat Inventory; BP.8.7.2 Platform Dependency Risks; BP.8.7.3 Publisher Threats; BP.8.7.4 AI Platform Threats; BP.8.7.5 Threat Assumptions; BP.8.7.6 Threat Monitoring Dependencies; BP.8.7.7 Threat Evidence Requirements; BP.8.7.8 Prohibited Threat Inferences; BP.8.7.9 Threat Architecture Acceptance Check,BP.7.4,Confidentiality and Research Data Risk,0.3152,BP.7.4.1 Audit Logging Architecture; BP.7.4.2 Administrative Access Governance; BP.7.4.13 Data Handling Requirements; BP.7.4.3 Security Documentation Governance; BP.7.4.4 Incident Response Governance; BP.7.4.10 Confidential Data Types; BP.7.4.11 Research Data Classification; BP.7.4.12 Confidentiality Risks; BP.7.4.5 Confidentiality Assumptions; BP.7.4.6 Confidentiality Dependencies; BP.7.4.7 Confidentiality Evidence Requirements; BP.7.4.8 Prohibited Confidentiality Inferences; BP.7.4.9 Confidentiality Acceptance Check,BP.1.2,Product Non-Scope,0.3038,BP.1.2.1 Writing Assistance Exclusion; BP.1.2.2 Generative Writing Exclusion; BP.1.2.3 General Chatbot Exclusion; BP.1.2.4 Integrity Detection Exclusion; BP.1.2.5 Acceptance Prediction Exclusion; BP.1.2.6 Peer Review Replacement Exclusion; BP.1.2.7 Autonomous Decision Exclusion; BP.1.2.8 Truth Determination Exclusion; BP.1.2.9 Non-Scope Acceptance Check
The technical uncertainty for claim extraction is claim boundary detection across disciplines.,,,would_auto_file,BP.1.8.3,Claim Extraction and Classification Architecture,high,review,auto_file_disabled,False,,0.1794,Claim boundary detection across disciplines.,6862:6906,6ff5232b-f1a4-4cd4-8776-2755a383d3ff,BP.1.8,Technical Feasibility and MVP Architecture,0.5017,BP.1.8.13 Confidence & Uncertainty Display; BP.1.8.14 Export Format Architecture; BP.1.8.6 Evaluation Benchmark Architecture; BP.1.8.7 Model and Vendor Strategy; BP.1.8.15 Engineering Roadmap; BP.1.8.16 Build-vs-Buy Strategy; BP.1.8.10 Issue Card Format; BP.1.8.11 Severity & Prioritisation Display; BP.1.8.12 Revision Recommendation Format; BP.1.8.1 MVP Diagnostic Workflow Architecture; BP.1.8.2 Manuscript Ingestion and Parsing Architecture; BP.1.8.3 Claim Extraction and Classification Architecture; BP.1.8.4 Evidence Mapping and Inference Checking Architecture; BP.1.8.5 Output Traceability and Human Review Workflow Architecture; BP.1.8.8 Security Architecture and Deployment Model; BP.1.8.9 Technical Architecture Acceptance Check,BP.1.5.3,Category Exclusion Boundary,0.3223,BP.1.5.3.1 Explicitly Excluded Categories; BP.1.5.3.2 Category Inclusion Guards; BP.1.5.3.3 Category Boundary Testing,BP.3.4,Evidence Inventory and Claim-Support Map,0.3153,BP.3.4.1 Claim Inventory; BP.3.4.2 Source-to-Claim Mapping; BP.3.4.3 Evidence Sufficiency Mapping; BP.3.4.4 Evidence Gap Identification; BP.3.4.5 Claim Dependency Mapping; BP.3.4.6 Support Boundary Rules; BP.3.4.7 Mapping Evidence Requirements; BP.3.4.8 Unsupported Claim Controls; BP.3.4.9 Claim-Support Acceptance Check
Existing tools are assumed to focus more on text integrity than claim validity.,,,would_auto_file,BP.6.5.6,Trust Assumptions,high,review,auto_file_disabled,False,,0.0037,Existing tools focus more on text integrity than claim validity.,285:349,ae4361bf-26ee-4239-9273-19c25c06cbf1,BP.6.5,Institutional Legitimacy and Trust Friction,0.2511,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements,BP.1.2,Product Non-Scope,0.2474,BP.1.2.1 Writing Assistance Exclusion; BP.1.2.2 Generative Writing Exclusion; BP.1.2.3 General Chatbot Exclusion; BP.1.2.4 Integrity Detection Exclusion; BP.1.2.5 Acceptance Prediction Exclusion; BP.1.2.6 Peer Review Replacement Exclusion; BP.1.2.7 Autonomous Decision Exclusion; BP.1.2.8 Truth Determination Exclusion; BP.1.2.9 Non-Scope Acceptance Check,BP.8.6,Trust Architecture,0.2454,BP.8.6.1 Trust Requirements; BP.8.6.2 Credibility Mechanisms; BP.8.6.3 Institutional Trust Factors; BP.8.6.4 Reputation Architecture; BP.8.6.5 Trust Assumptions; BP.8.6.6 Trust Dependencies; BP.8.6.7 Trust Evidence Requirements; BP.8.6.8 Prohibited Trust Inferences; BP.8.6.9 Trust Architecture Acceptance Check
"Faculty researcher budget sources are personal, department, or research office.",,,would_auto_file,BP.5.3.5,Funding Source Assumptions,high,review,auto_file_disabled,False,,0.0517,"Personal, department, research office.",868:906,e837d73f-0a18-4673-883f-8abb523ef3fb,BP.5.3,Economic Buyer and Budget Authority,0.3449,BP.5.3.5 Funding Source Assumptions; BP.5.3.1 Economic Buyer Identification; BP.5.3.2 Budget Ownership; BP.5.3.3 Spending Authority; BP.5.3.4 Budget Approval Logic; BP.5.3.6 Budget Constraints; BP.5.3.7 Budget Authority Evidence Requirements; BP.5.3.8 Prohibited Budget Authority Inferences; BP.5.3.9 Budget Authority Acceptance Check,BP.11,"Investor Narrative, Business Plan, and Data Room Readiness",0.2932,BP.11.7 Public Grant Funding,BP.3.3,Academic Foundation and Methodology Synthesis,0.2754,BP.3.3.5 Source Applicability; BP.3.3.1 Academic Source Inventory; BP.3.3.2 Framework Mapping; BP.3.3.3 Methodology Mapping; BP.3.3.4 Literature Synthesis; BP.3.3.6 Academic Boundary Rules; BP.3.3.7 Academic Evidence Requirements; BP.3.3.8 Academic Misuse Controls; BP.3.3.9 Academic Foundation Acceptance Check
"The institutional value is assumed to include supporting research quality control, publication competitiveness, doctoral supervision, and governance.",,,would_auto_file,BP.8.6.5,Trust Assumptions,high,review,auto_file_disabled,False,,0.0128,"Supports research quality control, publication competitiveness, doctoral supervision, and governance.",5518:5619,e02b3cc7-457c-4f23-8426-b4359510d47b,BP.8.6,Trust Architecture,0.3627,BP.8.6.1 Trust Requirements; BP.8.6.2 Credibility Mechanisms; BP.8.6.3 Institutional Trust Factors; BP.8.6.4 Reputation Architecture; BP.8.6.5 Trust Assumptions; BP.8.6.6 Trust Dependencies; BP.8.6.7 Trust Evidence Requirements; BP.8.6.8 Prohibited Trust Inferences; BP.8.6.9 Trust Architecture Acceptance Check,BP.10.2,Behavioural Evidence and Workflow-Triggered Use,0.3499,BP.10.2.1 Behavioural Success Metrics; BP.10.2.2 Workflow Trigger Definition; BP.10.2.3 Behavioural Observation Framework; BP.10.2.4 Behavioural Measurement Logic; BP.10.2.5 Behavioural Assumptions; BP.10.2.6 Behavioural Dependencies; BP.10.2.7 Behavioural Evidence Requirements; BP.10.2.8 Prohibited Behavioural Inferences; BP.10.2.9 Behavioural Evidence Acceptance Check; BP.10.2.11 Pilot Deliverables; BP.10.2.12 Pre/Post Comparison Design; BP.10.2.13 Pilot Conversion Criteria; BP.10.2.14 Testimonial & Case Study Governance; BP.10.2.15 Institutional Reference Strategy; BP.10.2.10 Pilot Duration,BP.6.5,Institutional Legitimacy and Trust Friction,0.332,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements
The institution segment budget is unknown.,,,would_auto_file,BP.5.3.6,Budget Constraints,high,review,auto_file_disabled,False,,0.0225,"Improve quality control while preserving human authority.
Unknown.",473:539,92e59ba5-d6ce-4e8e-9210-5b853ba5d0b1,BP.5.3,Economic Buyer and Budget Authority,0.3026,BP.5.3.5 Funding Source Assumptions; BP.5.3.1 Economic Buyer Identification; BP.5.3.2 Budget Ownership; BP.5.3.3 Spending Authority; BP.5.3.4 Budget Approval Logic; BP.5.3.6 Budget Constraints; BP.5.3.7 Budget Authority Evidence Requirements; BP.5.3.8 Prohibited Budget Authority Inferences; BP.5.3.9 Budget Authority Acceptance Check,BP.4.3,Segment Scoring and Prioritisation,0.2801,BP.4.3.7 Segment Evidence Requirements; BP.4.3.8 Prohibited Segment Prioritisation Inferences; BP.4.3.1 Candidate Segment Inventory; BP.4.3.2 Segment Evaluation Criteria; BP.4.3.3 Segment Scoring Method; BP.4.3.4 Segment Ranking; BP.4.3.5 Segment Prioritisation Rules; BP.4.3.6 Segment Assumptions; BP.4.3.9 Segment Prioritisation Acceptance Check,BP.4.5,Segment Exclusion Criteria,0.2667,BP.4.5.7 Exclusion Evidence Requirements; BP.4.5.8 Prohibited Segment Exclusion Inferences; BP.4.5.1 Excluded Segment Inventory; BP.4.5.2 Exclusion Criteria; BP.4.5.3 Exclusion Justification; BP.4.5.4 Temporary Exclusions; BP.4.5.5 Permanent Exclusions; BP.4.5.6 Exclusion Assumptions; BP.4.5.9 Segment Exclusion Acceptance Check
The assumed institutional need is to improve quality control while preserving human authority.,,,would_auto_file,BP.7.3.5,AI Governance Assumptions,high,review,auto_file_disabled,False,,0.0467,Improve quality control while preserving human authority.,473:530,81b38712-92fb-4a30-8faf-9d69eb9325ab,BP.7.3,AI Governance and Ethical Constraints,0.4192,BP.7.3.1 AI Governance Framework; BP.7.3.2 Human Oversight Requirements; BP.7.3.3 Ethical Constraints; BP.7.3.4 Prohibited AI Uses; BP.7.3.5 AI Governance Assumptions; BP.7.3.6 AI Governance Dependencies; BP.7.3.7 AI Governance Evidence Requirements; BP.7.3.8 Prohibited AI Governance Inferences; BP.7.3.9 AI Governance Acceptance Check; BP.7.3.10 Model and Vendor Governance Requirements,BP.6.5,Institutional Legitimacy and Trust Friction,0.3725,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements,BP.7.5,Segment-Specific Compliance Requirements,0.2833,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement
The auditability/transparency value provides a traceable claim to evidence to inference to risk to recommendation chain.,,,would_auto_file,BP.8.6.2,Credibility Mechanisms,high,review,auto_file_disabled,False,,0.0005,Provides traceable claim → evidence → inference → risk → recommendation chain.,6041:6119,b3e1d8c6-6c27-45f6-a88d-2279e6539263,BP.8.6,Trust Architecture,0.3716,BP.8.6.1 Trust Requirements; BP.8.6.2 Credibility Mechanisms; BP.8.6.3 Institutional Trust Factors; BP.8.6.4 Reputation Architecture; BP.8.6.5 Trust Assumptions; BP.8.6.6 Trust Dependencies; BP.8.6.7 Trust Evidence Requirements; BP.8.6.8 Prohibited Trust Inferences; BP.8.6.9 Trust Architecture Acceptance Check,BP.7.5,Segment-Specific Compliance Requirements,0.3711,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.1.8,Technical Feasibility and MVP Architecture,0.3617,BP.1.8.13 Confidence & Uncertainty Display; BP.1.8.14 Export Format Architecture; BP.1.8.6 Evaluation Benchmark Architecture; BP.1.8.7 Model and Vendor Strategy; BP.1.8.15 Engineering Roadmap; BP.1.8.16 Build-vs-Buy Strategy; BP.1.8.10 Issue Card Format; BP.1.8.11 Severity & Prioritisation Display; BP.1.8.12 Revision Recommendation Format; BP.1.8.1 MVP Diagnostic Workflow Architecture; BP.1.8.2 Manuscript Ingestion and Parsing Architecture; BP.1.8.3 Claim Extraction and Classification Architecture; BP.1.8.4 Evidence Mapping and Inference Checking Architecture; BP.1.8.5 Output Traceability and Human Review Workflow Architecture; BP.1.8.8 Security Architecture and Deployment Model; BP.1.8.9 Technical Architecture Acceptance Check
The adoption trigger for supervisors is repeated review bottlenecks.,,,would_auto_file,BP.6.6.5,Adoption Trigger Logic,high,review,auto_file_disabled,False,,0.1574,Repeated review bottlenecks.,1364:1392,e77aee7d-410d-4e3e-9dc9-e73ec441d841,BP.6.6,Adoption Sequencing Architecture,0.5009,BP.6.6.1 Initial Adoption Target; BP.6.6.2 User Adoption Sequence; BP.6.6.3 Buyer Adoption Sequence; BP.6.6.4 Institutional Adoption Sequence; BP.6.6.5 Adoption Trigger Logic; BP.6.6.6 Adoption Assumptions; BP.6.6.7 Adoption Evidence Requirements; BP.6.6.8 Prohibited Adoption Inferences; BP.6.6.9 Adoption Sequencing Acceptance Check,BP.5.5,Budget Cycle and Decision Timing,0.3435,BP.5.5.1 Budget Cycle Definition; BP.5.5.2 Budget Planning Window; BP.5.5.3 Decision Timing; BP.5.5.4 Purchase Triggers; BP.5.5.5 Timing Constraints; BP.5.5.6 Budget Timing Assumptions; BP.5.5.7 Budget Timing Evidence Requirements; BP.5.5.8 Prohibited Timing Inferences; BP.5.5.9 Budget Cycle Acceptance Check,BP.6.3,Pain Intensity and Adoption Barriers,0.3358,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry
The adoption trigger for Doctoral Program Directors is DBA/PhD cohort needs.,,,would_auto_file,BP.6.6.5,Adoption Trigger Logic,high,review,auto_file_disabled,False,,0.1216,DBA/PhD cohort needs.,2628:2649,45f4ac44-5061-4a2c-8009-f284c7d4e82e,BP.6.6,Adoption Sequencing Architecture,0.4501,BP.6.6.1 Initial Adoption Target; BP.6.6.2 User Adoption Sequence; BP.6.6.3 Buyer Adoption Sequence; BP.6.6.4 Institutional Adoption Sequence; BP.6.6.5 Adoption Trigger Logic; BP.6.6.6 Adoption Assumptions; BP.6.6.7 Adoption Evidence Requirements; BP.6.6.8 Prohibited Adoption Inferences; BP.6.6.9 Adoption Sequencing Acceptance Check,BP.1.3.6,User Journey Architecture,0.3285,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.6.1,JTBD and Discovery Protocol,0.2843,BP.6.1.8 Prohibited Discovery Inferences; BP.6.1.1 Discovery Objectives; BP.6.1.2 Target Participants; BP.6.1.3 JTBD Framework; BP.6.1.4 Interview Protocol; BP.6.1.5 Discovery Coding Rules; BP.6.1.6 Discovery Assumptions; BP.6.1.7 Discovery Evidence Requirements; BP.6.1.9 Discovery Protocol Acceptance Check
High-fit conditions for the research office ICP include needing institutional quality control and auditability.,,,would_auto_file,BP.4.4.2,ICP Characteristics,high,review,auto_file_disabled,False,,0.0215,Need institutional quality control and auditability.,4852:4904,a1ad1e43-433d-4a51-9306-e684689b3565,BP.4.4,ICP and Beachhead Definition,0.3757,BP.4.4.7 ICP Evidence Requirements; BP.4.4.8 Prohibited ICP Inferences; BP.4.4.5 Beachhead Selection Logic; BP.4.4.6 ICP Assumptions; BP.4.4.1 Candidate ICP Definition; BP.4.4.2 ICP Characteristics; BP.4.4.3 ICP Qualification Criteria; BP.4.4.4 Beachhead Segment Definition; BP.4.4.9 ICP and Beachhead Acceptance Check,BP.1.3.6,User Journey Architecture,0.3542,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.6.5,Institutional Legitimacy and Trust Friction,0.3436,BP.6.5.6 Trust Assumptions; BP.6.5.1 Institutional Legitimacy Requirements; BP.6.5.2 Trust Factors; BP.6.5.3 Trust Friction Inventory; BP.6.5.4 Institutional Politics; BP.6.5.5 Reputation Dependencies; BP.6.5.8 Prohibited Trust and Legitimacy Inferences; BP.6.5.9 Trust and Legitimacy Acceptance Check; BP.6.5.7 Trust Evidence Requirements
"Procurement barriers for Procurement / legal include DPA, data retention, IP, GDPR, and AI Act classification.",,,would_auto_file,BP.5.4.4,Procurement Blockers,high,review,auto_file_disabled,False,,0.1694,"DPA, data retention, IP, GDPR, AI Act classification.",3885:3938,b46aecf9-7902-42f6-bff1-b766bd45e29a,BP.5.4,Procurement Path and Approval Logic,0.6062,BP.5.4.1 Procurement Process Definition; BP.5.4.2 Procurement Stages; BP.5.4.3 Approval Workflow; BP.5.4.4 Procurement Blockers; BP.5.4.5 Procurement Dependencies; BP.5.4.6 Procurement Assumptions; BP.5.4.7 Procurement Evidence Requirements; BP.5.4.8 Prohibited Procurement Inferences; BP.5.4.9 Procurement Path Acceptance Check,BP.6.3,Pain Intensity and Adoption Barriers,0.4368,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry,BP.5.6,BP.5 Buying System Acceptance Check,0.3586,BP.5.6.1 Buying Architecture Completeness Review; BP.5.6.2 Role Map Audit; BP.5.6.3 Buying Centre Audit; BP.5.6.4 Budget Authority Audit; BP.5.6.5 Procurement Architecture Audit; BP.5.6.6 Outstanding Buying-System Assumptions; BP.5.6.7 BP.12 Uncertainty Routing Review; BP.5.6.8 Controller Review and Acceptance Decision; BP.5.6.9 BP.5 Branch Acceptance Check
Supervisors have medium influence but low direct budget.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.005,"Medium influence, low direct budget.",1297:1333,d131b10a-e780-4ead-b665-9e7589f59071,BP.7.5,Segment-Specific Compliance Requirements,0.239,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.7.2,Data Processing and Privacy Governance,0.234,BP.7.2.1 Data Classification; BP.7.2.11 DPA Readiness; BP.7.2.2 Subprocessor Governance; BP.7.2.12 Data Processing Activities; BP.7.2.3 No-Training / No-Fine-Tuning Policy; BP.7.2.13 Personal and Confidential Data; BP.7.2.4 Data Storage and Retention; BP.7.2.14 Derived Data Policy; BP.7.2.5 Data Retention Policy; BP.7.2.15 Privacy Assumptions; BP.7.2.6 Data Governance Dependencies; BP.7.2.7 Privacy Evidence Requirements; BP.7.2.8 Prohibited Privacy and Data Governance Inferences; BP.7.2.9 Data Governance Acceptance Check; BP.7.2.10 Diagnostic Data Pipeline Requirements; BP.7.2.16 Legal & DPO Support,BP.9.5,Unit Economics and Financial Model Logic,0.1977,BP.9.5.1 Revenue Model; BP.9.5.2 Cost Structure; BP.9.5.3 Unit Economics; BP.9.5.4 Financial Model Structure; BP.9.5.5 Financial Assumptions; BP.9.5.6 Financial Dependencies; BP.9.5.7 Financial Model Evidence Requirements; BP.9.5.8 Prohibited Financial Inferences; BP.9.5.9 Financial Model Acceptance Check; BP.9.5.12 Support Cost per Institution; BP.9.5.13 Customer Acquisition Cost Assumptions; BP.9.5.14 Payback Period Model; BP.9.5.15 Expansion Revenue Model; BP.9.5.16 Churn Assumptions; BP.9.5.17 Hiring Sequence; BP.9.5.10 Gross Margin Assumptions; BP.9.5.11 Infrastructure Cost per Manuscript
The associate editor persona need is triage support and reviewer-question generation.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0234,Triage support and reviewer-question generation.,1650:1698,5a603163-3a20-4162-9f98-9eee7e6a30f8,BP.7.5,Segment-Specific Compliance Requirements,0.3587,BP.7.5.1 Target Segment Compliance Requirements; BP.7.5.2 Geographic Compliance Requirements; BP.7.5.3 Institution-Specific Requirements; BP.7.5.4 Compliance Blockers; BP.7.5.5 Compliance Assumptions; BP.7.5.6 Compliance Dependencies; BP.7.5.7 Compliance Evidence Requirements; BP.7.5.8 Prohibited Compliance Inferences; BP.7.5.9 Segment Compliance Acceptance Check; BP.7.5.10 Responsible AI Use Policy; BP.7.5.11 Misuse Case Governance; BP.7.5.12 Author–Supervisor–Editor Role Boundaries; BP.7.5.13 User Transparency Statement,BP.1.3.6,User Journey Architecture,0.3353,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.6.3,Pain Intensity and Adoption Barriers,0.2357,BP.6.3.1 Pain Definition; BP.6.3.2 Pain Severity; BP.6.3.3 Pain Frequency; BP.6.3.4 Adoption Barrier Inventory; BP.6.3.5 Barrier Classification; BP.6.3.6 Pain and Barrier Assumptions; BP.6.3.7 Pain and Barrier Evidence Requirements; BP.6.3.8 Prohibited Pain and Barrier Inferences; BP.6.3.9 Pain and Barrier Acceptance Check; BP.6.3.10 Interview Repository; BP.6.3.11 Adoption Objection Log; BP.6.3.12 Non-Adoption Reason Registry
Reviewers have low buying power.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.0635,Low.,1514:1518,2d2ef434-9401-480d-9d88-795049bac363,BP.1.2,Product Non-Scope,0.2433,BP.1.2.1 Writing Assistance Exclusion; BP.1.2.2 Generative Writing Exclusion; BP.1.2.3 General Chatbot Exclusion; BP.1.2.4 Integrity Detection Exclusion; BP.1.2.5 Acceptance Prediction Exclusion; BP.1.2.6 Peer Review Replacement Exclusion; BP.1.2.7 Autonomous Decision Exclusion; BP.1.2.8 Truth Determination Exclusion; BP.1.2.9 Non-Scope Acceptance Check,BP.5.2,Buying Centre and Stakeholder Power,0.1798,BP.5.2.1 Buying Centre Composition; BP.5.2.2 Stakeholder Identification; BP.5.2.3 Stakeholder Influence Mapping; BP.5.2.4 Decision Authority Relationships; BP.5.2.5 Blocker and Champion Analysis; BP.5.2.6 Buying Centre Assumptions; BP.5.2.7 Buying Centre Evidence Requirements; BP.5.2.8 Prohibited Buying Centre Inferences; BP.5.2.9 Buying Centre Acceptance Check,BP.8.7,Incumbent and Platform Threats,0.1676,BP.8.7.1 Incumbent Threat Inventory; BP.8.7.2 Platform Dependency Risks; BP.8.7.3 Publisher Threats; BP.8.7.4 AI Platform Threats; BP.8.7.5 Threat Assumptions; BP.8.7.6 Threat Monitoring Dependencies; BP.8.7.7 Threat Evidence Requirements; BP.8.7.8 Prohibited Threat Inferences; BP.8.7.9 Threat Architecture Acceptance Check
The Doctoral Program Director buyer persona need is to improve doctoral manuscript quality.,,,no_fitting_node,none,?,high,review,no_fitting_node,False,,0.12,Improve doctoral manuscript quality.,2565:2601,20ffe28b-0e12-4047-98d3-ea1779230910,BP.1.3.6,User Journey Architecture,0.3694,BP.1.3.6.1 Researcher Upload Journey; BP.1.3.6.2 Doctoral Programme Workflow; BP.1.3.6.3 Research Office Workflow; BP.1.3.6.4 Journal & Editor Workflow; BP.1.3.6.5 Collaboration Permissions; BP.1.3.6.6 Notification Logic,BP.7.2,Data Processing and Privacy Governance,0.2494,BP.7.2.1 Data Classification; BP.7.2.11 DPA Readiness; BP.7.2.2 Subprocessor Governance; BP.7.2.12 Data Processing Activities; BP.7.2.3 No-Training / No-Fine-Tuning Policy; BP.7.2.13 Personal and Confidential Data; BP.7.2.4 Data Storage and Retention; BP.7.2.14 Derived Data Policy; BP.7.2.5 Data Retention Policy; BP.7.2.15 Privacy Assumptions; BP.7.2.6 Data Governance Dependencies; BP.7.2.7 Privacy Evidence Requirements; BP.7.2.8 Prohibited Privacy and Data Governance Inferences; BP.7.2.9 Data Governance Acceptance Check; BP.7.2.10 Diagnostic Data Pipeline Requirements; BP.7.2.16 Legal & DPO Support,BP.6.1,JTBD and Discovery Protocol,0.2258,BP.6.1.8 Prohibited Discovery Inferences; BP.6.1.1 Discovery Objectives; BP.6.1.2 Target Participants; BP.6.1.3 JTBD Framework; BP.6.1.4 Interview Protocol; BP.6.1.5 Discovery Coding Rules; BP.6.1.6 Discovery Assumptions; BP.6.1.7 Discovery Evidence Requirements; BP.6.1.9 Discovery Protocol Acceptance Check
