node_id,node_title,confidence,doc_section,row_label,matched_text,match_reason,verdict_ok
BP.1.2.8,Truth Determination Exclusion,high,2. Product Definition,Product boundaries,"Item: Product boundaries | Extracted data: System should assist human judgement, not determine truth or enforce publication decisions. | Epistemic status: CONFIRMED","This content states that the system should assist human judgement rather than determine truth or enforce publication decisions, which is precisely the truth-determination and publication-decision exclusion boundary.",
BP.1.2.9,Non-Scope Acceptance Check,low,2. Product Definition,What it is not,"Item: What it is not | Extracted data: Not a writing tool, not a generic AI assistant, not a peer-review replacement, not an autonomous editorial decision-maker. | Epistemic status: CONFIRMED","This content lists what the product is not — specifically calling out writing tool, generic AI assistant, peer-review replacement, and autonomous editorial decision-maker — which is a composite non-scope statement spanni",
BP.1.3.2.2,Task Interdependencies,low,7. EpistemicOS Knowledge Architecture,Task/dependency system,"Layer: Task/dependency system | Purpose: Sequence business-plan and validation work. | Data contained: Tasks, dependencies, blockers, gates. | Owner: Dependency agent + founder. | Update rules: Update at each phase gate. | Verification rules: Blocked tasks cannot proceed. | Risk if poorly maintained: Premature financial/GTM claims. | Status: CONFIRMED","This content describes the Task/dependency system layer of the EpistemicOS knowledge architecture, specifying its purpose as sequencing business-plan and validation work with tasks, dependencies, blockers, and gates — wh",
BP.1.3.6.4,Journal & Editor Workflow,low,2. Product Definition,Secondary use case,Item: Secondary use case | Extracted data: Editorial triage / reviewer-support for journals and publishers. | Epistemic status: ASSUMPTION,"This content identifies editorial triage/reviewer-support for journals and publishers as a secondary use case, which directly maps to the workflow integration node for journal editorial processes.",
BP.1.3.6.4,Journal & Editor Workflow,low,6. Product Capabilities and Modules,Journal/editorial API,Capability/module: Journal/editorial API | Description: Integrate diagnostics into editorial systems. | User value: Workflow embedding. | Required input: Editorial system data. | Output: Embedded diagnostic feed. | Human verification required?: Yes. | Technical uncertainty: Integration feasibility. | Validation requirement: Publisher pilot. | Status: ASSUMPTION,"This content describes a Journal/editorial API module for integrating diagnostics into editorial systems, which corresponds to workflow integration for journal editorial processes.",
BP.1.5.1.1,Category Hypothesis Formulation,high,8. Market and Competitive Context,Market category hypothesis,"Item: Market category hypothesis | Confirmed data: Manuscript diagnostics, research integrity infrastructure, reviewer-readiness, epistemic validation software. | Inference: Wedge category likely “pre-submission manuscript diagnostics.” | Missing evidence: Market category size and buyer vocabulary. | Required validation: Market interviews + competitor analysis. | Status: ASSUMPTION","This content is a status record of the market category hypothesis — stating the provisional wedge category ('pre-submission manuscript diagnostics'), what confirmed data supports it, what is inferred, what evidence is mi",
BP.1.6.1,Initial Operating Geography,high,1. Executive Data Snapshot,Initial geography,"Field: Initial geography | Extracted data: Spain/EU first; later global relevance if GDPR, data governance, and institutional trust are solved. | Epistemic status: CONFIRMED","This content states that Spain/EU is the initial operating geography with later global relevance contingent on GDPR, data governance, and institutional trust — which is precisely the initial geography statement and inclu",
BP.1.8.1,MVP Diagnostic Workflow Architecture,high,2. Product Definition,Primary workflow,Item: Primary workflow | Extracted data: Manuscript uploaded or processed → claims extracted → claims classified → evidence mapped → inference and method fit assessed → risks flagged → revision directives produced. | Epistemic status: CONFIRMED,"This content describes the primary end-to-end diagnostic workflow (manuscript upload → claims extracted → classified → evidence mapped → inference/method fit assessed → risks flagged → revision directives produced), whic",
BP.1.8.3,Claim Extraction and Classification Architecture,high,6. Product Capabilities and Modules,Claim extraction,Capability/module: Claim extraction | Description: Identify significant manuscript claims. | User value: Makes analysis granular. | Required input: Manuscript text. | Output: Claim list. | Human verification required?: Yes. | Technical uncertainty: Claim boundary detection across disciplines. | Validation requirement: Expert-labelled claim benchmark. | Status: CONFIRMED,"This content describes the claim extraction capability/module with its inputs, outputs, validation requirements, and status — which is part of the claim extraction and classification architecture specification.",
BP.1.8.3,Claim Extraction and Classification Architecture,high,6. Product Capabilities and Modules,Claim classification,"Capability/module: Claim classification | Description: Classify claims as descriptive, causal, conceptual, review-based, normative, prescriptive, etc. | User value: Applies correct validation standard. | Required input: Extracted claims. | Output: Claim-type taxonomy. | Human verification required?: Yes. | Technical uncertainty: Field-sensitive classification. | Validation requirement: Inter-rater agreement with experts. | Status: CONFIRMED","This content describes the claim classification capability/module — its description, inputs, outputs, validation requirements, and status — which directly populates the claim extraction and classification architecture no",
BP.1.8.4,Evidence Mapping and Inference Checking Architecture,high,6. Product Capabilities and Modules,Evidence mapping,"Capability/module: Evidence mapping | Description: Link each claim to supporting evidence/passages/sources. | User value: Shows support status. | Required input: Manuscript, references, cited passages. | Output: Claim–evidence map. | Human verification required?: Yes. | Technical uncertainty: Citation interpretation and source access. | Validation requirement: Claim-evidence alignment accuracy. | Status: CONFIRMED",This content describes the 'evidence mapping' capability module — linking claims to supporting evidence/sources — which directly corresponds to the evidence mapping component of the MVP diagnostic workflow architecture n,
BP.1.8.4,Evidence Mapping and Inference Checking Architecture,high,6. Product Capabilities and Modules,Inference checking,"Capability/module: Inference checking | Description: Assess whether conclusions follow from evidence and method. | User value: Detects overreach. | Required input: Claims, methods, results, evidence. | Output: Inference-risk flags. | Human verification required?: Yes. | Technical uncertainty: Reasoning formalization in social science. | Validation requirement: Expert review comparison. | Status: CONFIRMED","This content describes the 'inference checking' capability module, including its inputs, outputs, technical uncertainty, and validation requirements — which maps directly to evidence mapping and inference checking archit",
BP.1.8.5,Output Traceability and Human Review Workflow Architecture,low,2. Product Definition,Claim-level diagnostic logic,Item: Claim-level diagnostic logic | Extracted data: Claim → evidence → inference → uncertainty → risk → recommendation chain. | Epistemic status: CONFIRMED,"This content describes the claim→evidence→inference→uncertainty→risk→recommendation chain, which is the core logic of the diagnostic pipeline — most precisely matching the output traceability and evidence-mapping node th",
BP.1.8.5,Output Traceability and Human Review Workflow Architecture,low,6. Product Capabilities and Modules,Audit trail,"Capability/module: Audit trail | Description: Preserve traceability from diagnostic to source passage. | User value: Institutional trust. | Required input: Analysis logs, source locations. | Output: Auditable chain. | Human verification required?: Yes. | Technical uncertainty: Versioning and provenance integrity. | Validation requirement: Reproducibility tests. | Status: CONFIRMED","This content describes an audit trail capability for preserving traceability from diagnostic to source passage, which maps to output traceability and human review workflow architecture for traceable diagnostic outputs.",
BP.1.8.6,Evaluation Benchmark Architecture,high,12. Validation and Evidence Requirements,EpistemicOS achieves senior-reviewer-level reliability.,"Claim to validate: EpistemicOS achieves senior-reviewer-level reliability. | Why it matters: Core credibility claim. | Evidence required: Expert comparison, inter-rater agreement. | Possible method: Expert-labelled manuscript benchmark. | Risk if unvalidated: Product not trusted. | Status: MISSING",This content is a validation requirements entry specifying that the claim 'EpistemicOS achieves senior-reviewer-level reliability' needs expert comparison and inter-rater agreement evidence via an expert-labelled manuscr,
BP.1.8.6,Evaluation Benchmark Architecture,high,12. Validation and Evidence Requirements,Claim extraction is accurate.,Claim to validate: Claim extraction is accurate. | Why it matters: Foundation of product. | Evidence required: Recall/precision vs expert labels. | Possible method: Annotated manuscript corpus. | Current evidence: Conceptual only. | Risk if unvalidated: Diagnostics miss key claims. | Status: MISSING,This content is a validation requirement entry specifying that claim extraction accuracy is unvalidated and needs recall/precision testing against expert labels — which directly belongs to the evaluation benchmark archit,
BP.10.1.5,Validation Assumptions,low,15. Strategic Assumptions Register,Reviewer-risk prediction can be validated.,Assumption: Reviewer-risk prediction can be validated. | Type: Product | Importance: High | Current confidence: Low | Evidence available: Conceptual only. | Evidence missing: Retrospective review data. | Validation method: Expert benchmark. | Owner: Product/Research | Priority: High | Status: ASSUMPTION,"This content is a single entry in a strategic assumptions register, specifically flagging that reviewer-risk prediction validation is an unvalidated assumption with low confidence and no empirical evidence — which matche",
BP.10.1.7,Validation Evidence Requirements,high,12. Validation and Evidence Requirements,False positive rate acceptable.,Claim to validate: False positive rate acceptable. | Why it matters: Prevents reputational harm. | Evidence required: Error-rate benchmark. | Possible method: Expert validation study. | Risk if unvalidated: Trust collapse. | Status: MISSING,"This content is a validation evidence requirement entry for the claim 'false positive rate acceptable,' specifying why it matters, what evidence is required, method, risk if unvalidated, and status — which directly popul",
BP.10.1.7,Validation Evidence Requirements,low,12. Validation and Evidence Requirements,False negative rate acceptable.,Claim to validate: False negative rate acceptable. | Why it matters: Prevents hidden risk. | Evidence required: Error-rate benchmark. | Possible method: Expert validation study. | Risk if unvalidated: False confidence. | Status: MISSING,"This content is a validation evidence requirement entry specifying a claim (false negative rate acceptable), why it matters, required evidence, method, risk if unvalidated, and status — which matches the required output ",
BP.10.1.7,Validation Evidence Requirements,low,12. Validation and Evidence Requirements,Outputs are reproducible.,Claim to validate: Outputs are reproducible. | Why it matters: Required for auditability. | Evidence required: Same input produces stable output. | Possible method: Repeat-run testing. | Current evidence: Principle stated. | Risk if unvalidated: Institutional distrust. | Status: MISSING,"This content is a validation evidence requirement entry stating that output reproducibility is unvalidated, missing evidence, and carries institutional distrust risk — which is a validation evidence requirements matrix e",
BP.10.1.7,Validation Evidence Requirements,high,12. Validation and Evidence Requirements,Researchers act on diagnostics.,Claim to validate: Researchers act on diagnostics. | Why it matters: Product utility. | Evidence required: Usage and revision behavior. | Possible method: Pilot observation. | Risk if unvalidated: Tool used once then abandoned. | Status: MISSING,"This content is a row from a validation evidence requirements register, specifying a claim to validate, why it matters, the evidence required, possible method, risk if unvalidated, and status — which is exactly what BP.1",
BP.10.1.7,Validation Evidence Requirements,high,12. Validation and Evidence Requirements,Reproducibility equals epistemic reliability.,Claim to validate: Reproducibility equals epistemic reliability. | Why it matters: Prevents false confidence. | Evidence required: Demonstration that stable outputs are also correct. | Possible method: Expert benchmarking. | Risk if unvalidated: Stable but wrong diagnostics. | Status: MISSING,"This content is a structured validation evidence requirement entry specifying a claim to validate (reproducibility equals epistemic reliability), the evidence required to validate it, and the method—matching the required",
BP.10.5.2,Evidence Update Rules,low,7. EpistemicOS Knowledge Architecture,Evidence registry,"Layer: Evidence registry | Purpose: Store evidence for each claim. | Data contained: Sources, excerpts, reliability class, date, contradiction flags. | Owner: Human-supervised. | Update rules: Add evidence after source audit. | Verification rules: Primary/secondary distinction required. | Risk if poorly maintained: Fabricated or weak evidence enters model. | Status: CONFIRMED","This content describes an 'evidence registry' layer in a knowledge architecture — defining its purpose, data fields, ownership, update/verification rules, and risks — which maps directly to the rules governing how eviden",
BP.11.3.4,Unknowns and Limitations Register,low,7. EpistemicOS Knowledge Architecture,Uncertainty register,"Layer: Uncertainty register | Purpose: Track unresolved questions. | Data contained: Unknowns, priority, owner, validation method. | Owner: Founder/lead analyst. | Update rules: Updated after every phase. | Verification rules: Must separate unknown from contradiction. | Risk if poorly maintained: Critical risks hidden from planning. | Status: CONFIRMED","This content describes an 'Uncertainty register' layer that tracks unresolved questions with unknowns, priority, owner, and validation method — which directly matches the purpose of registering all matters that remain ge",
BP.11.4.4,Missing Artifact Register,low,11. Financials and Funding,Development costs,Financial item: Development costs | Extracted data: Not specified. | Status: MISSING,This content is an administrative status marker indicating that 'Development costs' financial data is missing/not specified in the source document — it is a gap/missing artifact record rather than substantive business co,
BP.11.4.4,Missing Artifact Register,high,12. Missing Financial Data Table,Target round size,Missing data: Target round size | Why it matters: Determines investor narrative. | Required source: Founder decision. | Priority: Critical | Status: MISSING,"This content is a record of a missing financial data item (target round size) with its criticality and resolution status, which belongs in a register of missing artifacts rather than any timing, trigger, or team node.",
BP.11.4.4,Missing Artifact Register,low,12. Missing Financial Data Table,Pilot cost,Missing data: Pilot cost | Why it matters: Determines pilot viability. | Required source: Product + operations estimate. | Priority: High | Status: MISSING,"This content is a record of a missing financial data item (pilot cost) including why it matters, its required source, priority, and status — which is a missing artifact or data gap register entry relevant to financial pl",
BP.12.3.1,Risk Type Classification,low,"13. Compliance, Legal, and Risk",Bias,Risk: Bias | Product area affected: Diagnostic reliability. | Severity: High | Evidence available: Risk identified. | Required documentation: Bias testing and validation protocol. | Open decision: Evaluation design. | Status: ASSUMPTION,"This content is a risk register entry describing a bias risk affecting diagnostic reliability, with severity, evidence status, required documentation, and open decisions — matching the structure of a classified and score",
BP.12.3.7,Classification Evidence Requirements,high,12. Validation and Evidence Requirements,Claim classification is reliable.,Claim to validate: Claim classification is reliable. | Why it matters: Determines validation rules. | Evidence required: Inter-rater agreement. | Possible method: Multiple expert coders. | Current evidence: Conceptual only. | Risk if unvalidated: Wrong diagnostic standard applied. | Status: MISSING,"This content is a validation gap record for the claim that 'claim classification is reliable,' specifying evidence required (inter-rater agreement via multiple expert coders) and noting current status as conceptual only ",
BP.12.4.1,Mitigation Plan Requirement,low,"13. Compliance, Legal, and Risk",Copyright/IP ownership,"Risk: Copyright/IP ownership | Product area affected: Terms of service. | Severity: High | Evidence available: Internal notes. | Required documentation: IP policy, no reproduction/training without consent. | Open decision: Rights model. | Status: CONFIRMED risk","This content is a confirmed risk register entry for Copyright/IP ownership, identifying severity, evidence, required documentation, and an open decision — which is exactly what a risk register entry with mitigation plann",
BP.2.1.1,Problem Statement,high,1. Executive Data Snapshot,Primary problem,"Field: Primary problem | Extracted data: Academic manuscripts may contain unsupported claims, weak inference, method–conclusion mismatch, citation gaps, and reviewer-facing risks before submission or editorial evaluation. | Epistemic status: CONFIRMED","This content is a one-sentence description of the primary problem the product addresses — unsupported claims, weak inference, method–conclusion mismatch, citation gaps, and reviewer-facing risks in academic manuscripts —",
BP.2.1.4,Affected Stakeholders,low,1. Executive Data Snapshot,Primary user,"Field: Primary user | Extracted data: Researchers, doctoral students, faculty, supervisors, reviewers, associate editors, editorial analysts. | Epistemic status: CONFIRMED","This content identifies the primary users of the product (researchers, doctoral students, faculty, supervisors, reviewers, associate editors, editorial analysts), which maps to identifying which stakeholders are hypothes",
BP.2.1.4,Affected Stakeholders,high,3. Problem and Jobs-to-Be-Done,Supervisors,Stakeholder: Supervisors | Problem: Repeated effort detecting weak reasoning in manuscripts. | Job-to-be-done: Quickly identify epistemic weaknesses in student/faculty manuscripts. | Pain intensity: Unknown. | Existing workaround: Manual review and comments. | Why workaround is insufficient: High time cost; inconsistent depth. | Evidence gap: No supervisor interviews. | Status: ASSUMPTION,"This content is a structured problem/job-to-be-done record for a specific stakeholder (Supervisors), including pain, workaround, and an explicit evidence gap with ASSUMPTION status — which maps to the stakeholder problem",
BP.2.1.4,Affected Stakeholders,high,3. Problem and Jobs-to-Be-Done,Business schools,"Stakeholder: Business schools | Problem: Publication quality, rankings, accreditation pressure, research reputation. | Job-to-be-done: Improve manuscript readiness and research governance. | Pain intensity: Hypothesized high for research-active schools. | Existing workaround: Faculty review, doctoral training, methodology support. | Why workaround is insufficient: Fragmented and hard to audit. | Evidence gap: No buyer interviews. | Status: ASSUMPTION","This content is a stakeholder problem entry identifying business schools as an affected stakeholder, their problem, job-to-be-done, pain intensity hypothesis, existing workarounds, why workarounds are insufficient, and e",
BP.2.1.6,Problem Assumptions,low,3. Problem and Jobs-to-Be-Done,Research offices,"Stakeholder: Research offices | Problem: Need institutional research quality control. | Job-to-be-done: Support publication quality and reduce avoidable rejection risk. | Pain intensity: Unknown; strategically plausible. | Existing workaround: Internal review, workshops, databases, research support staff. | Why workaround is insufficient: Not systematic at claim level. | Evidence gap: No procurement evidence. | Status: ASSUMPTION","This content is a structured problem/job-to-be-done entry for a specific stakeholder (research offices), explicitly labelled as an ASSUMPTION with no procurement evidence — matching the required output of a problem assum",
BP.2.1.6,Problem Assumptions,low,3. Problem and Jobs-to-Be-Done,Reviewers,"Stakeholder: Reviewers | Problem: Cognitive/time burden in checking methods, evidence, and claims. | Job-to-be-done: Reduce repetitive validity-checking burden while preserving judgement. | Pain intensity: Unknown; likely varies by field. | Existing workaround: Partial checking, heuristics, manual reading. | Why workaround is insufficient: May miss hidden errors; no traceable diagnostic. | Evidence gap: No reviewer interviews yet. | Status: ASSUMPTION","This content describes the problem, job-to-be-done, pain, workaround, and assumption status for the 'Reviewers' stakeholder — it is an unvalidated assumption entry about a specific stakeholder's problem experience, which",
BP.2.1.6,Problem Assumptions,low,3. Problem and Jobs-to-Be-Done,Editors,"Stakeholder: Editors | Problem: Need faster, more consistent evaluation signals. | Job-to-be-done: Triage manuscripts and focus reviewers on key risks. | Pain intensity: Unknown. | Existing workaround: Editorial screening, reviewer assignment. | Why workaround is insufficient: Does not standardize claim-level reasoning checks. | Evidence gap: No editor interviews. | Status: ASSUMPTION","This content describes an editor stakeholder's problem, job-to-be-done, pain intensity, existing workaround, and why it is insufficient — which maps to a stakeholder-pain assumption entry, but more precisely it is an unv",
BP.2.1.6,Problem Assumptions,high,15. Strategic Assumptions Register,Researchers feel AI-induced epistemic risk.,Assumption: Researchers feel AI-induced epistemic risk. | Type: Problem | Importance: Critical | Current confidence: Medium-low | Evidence available: Pasted reasoning. | Evidence missing: Direct interviews. | Validation method: Episodic recall interviews. | Owner: Research | Priority: Critical | Status: ASSUMPTION,"This content is an entry in a problem-assumption register, stating an unvalidated assumption about whether researchers feel AI-induced epistemic risk, with falsification conditions, validation method, owner, and status —",
BP.2.2.3,Stakeholder Pain Mapping,low,3. Problem and Jobs-to-Be-Done,Institutions,"Stakeholder: Institutions | Problem: Need stronger research governance without overstepping academic autonomy. | Job-to-be-done: Improve quality control while preserving human authority. | Pain intensity: Unknown. | Existing workaround: Policies, research offices, committees. | Why workaround is insufficient: Slow, non-operational, not claim-level.","This content describes a specific stakeholder (Institutions), their problem, job-to-be-done, pain intensity, existing workarounds, and why those workarounds are insufficient — which is a stakeholder-problem mapping entry",
BP.2.2.5,Pain Assumptions,low,3. Problem and Jobs-to-Be-Done,Researchers,"Stakeholder: Researchers | Problem: Difficulty verifying whether claims are properly supported and defensible. | Job-to-be-done: Make manuscripts more defensible before submission. | Pain intensity: Unknown; hypothesized high among advanced researchers using AI. | Existing workaround: Manual checking, coauthor review, prior knowledge, AI tools, literature tools. | Why workaround is insufficient: Fragmented, time-consuming, no audit trail. | Evidence gap: No interview evidence. | Status: ASSUMPTION","This content is a structured problem/pain record for a specific stakeholder (Researchers) including their job-to-be-done, pain intensity, workarounds, and explicit labelling as an unvalidated assumption — which matches t",
BP.2.2.5,Pain Assumptions,low,3. Problem and Jobs-to-Be-Done,Doctoral students,"Stakeholder: Doctoral students | Problem: Weak claim–evidence alignment and dependence on supervisors. | Job-to-be-done: Identify weak claims before supervisor or journal review. | Pain intensity: Hypothesized medium/high. | Existing workaround: Supervisor feedback, methodology courses, peer feedback. | Why workaround is insufficient: Slow, inconsistent, human bottleneck. | Evidence gap: No cohort data, no WTP evidence. | Status: ASSUMPTION","This content is a structured entry describing a specific stakeholder's problem, job-to-be-done, pain intensity, existing workarounds, and evidence gaps — all explicitly labeled as assumptions — which maps to a pain assum",
BP.2.2.5,Pain Assumptions,low,3. Problem and Jobs-to-Be-Done,Journals,"Stakeholder: Journals | Problem: Reviewer overload, inconsistent review quality, weak triage. | Job-to-be-done: Identify high-risk manuscripts before or during editorial evaluation. | Pain intensity: Hypothesized high for Q1/Q2 and high-volume journals. | Existing workaround: Desk review, peer review, editorial judgement. | Why workaround is insufficient: Slow, inconsistent, reviewer-dependent. | Evidence gap: No editor/journal evidence. | Status: ASSUMPTION","This content describes a specific stakeholder's (Journals) problem, pain intensity, existing workarounds, and why they are insufficient — along with an explicit 'ASSUMPTION' label and evidence gap — which maps directly t",
BP.2.7.2,Contradiction Register,high,18. Contradictions and Ambiguities,B2B vs B2C,"Contradiction / ambiguity: B2B vs B2C | Evidence on each side: Institutional subscription repeatedly proposed; individual researcher subscription also considered. | Why it matters: Pricing, CAC, support, procurement differ. | Required decision or validation: Choose primary monetization path; test secondary. | Status: CONTRADICTION","This content is an administrative contradiction record flagging that B2B vs B2C monetization path has not been resolved, which maps directly to a contradiction register entry documenting conflicting evidence, why it matt",
BP.2.7.2,Contradiction Register,low,18. Contradictions and Ambiguities,Pre-submission vs editorial workflow,"Contradiction / ambiguity: Pre-submission vs editorial workflow | Evidence on each side: Product framed pre-submission; journals/reviewers included. | Why it matters: Different buyer, workflow, liability. | Required decision or validation: Sequence business-school wedge vs journal pathway. | Status: CONTRADICTION","This content is an administrative contradiction record identifying a conflict between pre-submission and editorial workflow framing in the business plan, which belongs in the contradiction register that documents interna",
